# Manually created: Land types from SAGE, HYDE, and desired protection/suitability merged and reconciled; missing zeroes backfilled; 2015 scaled to AGLU land cover years
GCAM_region_ID,year,GLU,prot_frac,non_prot_frac,Land_Type
1,2015,GLU233,0.439552984934214,0.560447015065786,Grassland
1,2015,GLU233,0.312342934900542,0.687657065099458,Pasture
1,2015,GLU234,0.485690171002944,0.514309828997056,Grassland
1,2015,GLU234,0.405413436843058,0.594586563156942,Pasture
2,2015,GLU087,0.319711779522901,0.680288220477099,Forest
2,2015,GLU087,0.313071729910592,0.686928270089408,Grassland
2,2015,GLU087,0.953772422897632,0.0462275771023677,RockIceDesert
2,2015,GLU087,0.493340186421059,0.506659813578941,Shrubland
2,2015,GLU087,0.382405778937125,0.617594221062875,Pasture
2,2015,GLU100,0.263863643189359,0.736136356810641,Forest
2,2015,GLU100,0.617489351009545,0.382510648990455,Grassland
2,2015,GLU100,0.969026738070726,0.0309732619292739,RockIceDesert
2,2015,GLU100,0.749945124228653,0.250054875771347,Shrubland
