Units,scenario,region,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1975$/kg,allansce1nz,South Africa,Dairy,0.0946433,0.0963681,0.0982086,0.101894,0.109301,0.119114,0.129461,0.134093,0.140875,0.148938,0.156987,0.164256,0.172431,0.172227,0.171422,0.170376,0.169568
1975$/kg,allansce1nz,South America_Northern,Dairy,0.302349,0.308001,0.313981,0.323164,0.336015,0.349808,0.366416,0.380476,0.396362,0.413642,0.428702,0.44261,0.457846,0.459511,0.459894,0.460071,0.459961
1975$/kg,allansce1nz,South America_Southern,Dairy,0.107431,0.111214,0.114271,0.119462,0.127841,0.136334,0.147221,0.155979,0.165743,0.176183,0.186568,0.195379,0.204986,0.20589,0.20536,0.205342,0.20552
1975$/kg,allansce1nz,South Asia,Dairy,0.137621,0.145896,0.152535,0.16151,0.175227,0.189238,0.206825,0.223803,0.244853,0.269959,0.292743,0.311481,0.329782,0.333457,0.333632,0.333338,0.332294
1975$/kg,allansce1nz,South Korea,Dairy,0.560738,0.571955,0.580204,0.595479,0.623445,0.656894,0.699764,0.720096,0.744362,0.769686,0.793844,0.81608,0.841081,0.833502,0.824332,0.816387,0.809962
1975$/kg,allansce1nz,Southeast Asia,Dairy,0.124605,0.14145,0.155995,0.178999,0.212593,0.24663,0.285521,0.312418,0.341943,0.371742,0.399152,0.42161,0.446314,0.445845,0.443399,0.441427,0.439717
1975$/kg,allansce1nz,Taiwan,Dairy,0.199625,0.204588,0.209698,0.221281,0.240482,0.260191,0.283192,0.298333,0.314052,0.331505,0.349293,0.365099,0.38253,0.383429,0.382567,0.381282,0.380511
1975$/kg,allansce1nz,USA,Dairy,0.121228,0.123385,0.125108,0.128266,0.133864,0.140194,0.148086,0.153758,0.160282,0.167299,0.174217,0.180083,0.186708,0.186988,0.186896,0.186898,0.18694
1975$/kg,allansce2nz,Africa_Eastern,Dairy,0.231591,0.276278,0.319591,0.396184,0.493477,0.589695,0.690909,0.770591,0.853646,0.938393,1.021,1.09061,1.16748,1.17623,1.17985,1.1859,1.197
1975$/kg,allansce2nz,Africa_Northern,Dairy,0.174609,0.180507,0.187871,0.198834,0.216079,0.234333,0.25608,0.273937,0.294488,0.318071,0.343611,0.365605,0.388526,0.391107,0.391946,0.393041,0.394973
1975$/kg,allansce2nz,Africa_Southern,Dairy,0.15368,0.191648,0.218089,0.279358,0.327469,0.398751,0.503762,0.590944,0.673766,0.764002,0.865217,0.951828,1.04988,1.07373,1.08748,1.10331,1.11299
1975$/kg,allansce2nz,Africa_Western,Dairy,0.319901,0.396838,0.46331,0.548455,0.73218,0.94292,1.17353,1.33962,1.49625,1.66362,1.83145,1.96992,2.12818,2.15926,2.16131,2.17064,2.17929
1975$/kg,allansce2nz,Argentina,Dairy,0.105356,0.108841,0.111842,0.117,0.12543,0.134209,0.144708,0.153198,0.162874,0.173631,0.184176,0.192929,0.202263,0.201929,0.201413,0.20136,0.20137
1975$/kg,allansce2nz,Australia_NZ,Dairy,0.0926691,0.0951758,0.0973267,0.101208,0.107596,0.114243,0.121673,0.12814,0.135911,0.144211,0.152024,0.15837,0.165129,0.164908,0.164854,0.16525,0.165657
1975$/kg,allansce2nz,Brazil,Dairy,0.0952412,0.0983438,0.101097,0.106029,0.113669,0.120599,0.129402,0.135939,0.143088,0.150618,0.15764,0.163467,0.170014,0.169177,0.168101,0.167243,0.166357
1975$/kg,allansce2nz,Canada,Dairy,0.165979,0.169199,0.171599,0.176466,0.184478,0.192778,0.202803,0.210911,0.220051,0.229615,0.238853,0.246521,0.254975,0.255045,0.25483,0.254942,0.255091
1975$/kg,allansce2nz,Central America and Caribbean,Dairy,0.14115,0.14972,0.156878,0.166984,0.182306,0.198823,0.21818,0.232286,0.247724,0.26415,0.279845,0.293093,0.307634,0.309065,0.309778,0.310567,0.31106
1975$/kg,allansce2nz,Central Asia,Dairy,0.106726,0.110421,0.113107,0.117489,0.123809,0.130104,0.137626,0.143777,0.15078,0.158594,0.166368,0.172979,0.18011,0.180801,0.181035,0.181273,0.181301
1975$/kg,allansce2nz,China,Dairy,0.203603,0.211404,0.218028,0.22778,0.243796,0.261221,0.281,0.291131,0.301385,0.311825,0.321155,0.327564,0.334516,0.328277,0.320908,0.313932,0.307853
1975$/kg,allansce2nz,Colombia,Dairy,0.0877257,0.0903998,0.0927028,0.0960711,0.10077,0.105928,0.112383,0.117287,0.122841,0.128889,0.134742,0.14,0.145263,0.14526,0.145106,0.144941,0.1446
1975$/kg,allansce2nz,EU-12,Dairy,0.104882,0.10804,0.110207,0.114416,0.121493,0.128559,0.136737,0.14325,0.150826,0.158839,0.166612,0.172842,0.179734,0.179386,0.178827,0.178587,0.178483
1975$/kg,allansce2nz,EU-15,Dairy,0.116065,0.119781,0.121911,0.125954,0.132954,0.139953,0.148278,0.155093,0.162978,0.171353,0.179534,0.186284,0.193766,0.193783,0.193494,0.193469,0.193494
1975$/kg,allansce2nz,Europe_Eastern,Dairy,0.0719887,0.075399,0.0779199,0.082255,0.0892055,0.0964108,0.104861,0.110773,0.117534,0.12458,0.131288,0.136673,0.142703,0.142353,0.14177,0.141364,0.140919
1975$/kg,allansce2nz,Europe_Non_EU,Dairy,0.124113,0.135566,0.143691,0.155978,0.174147,0.192501,0.214268,0.231636,0.251593,0.273608,0.295043,0.313651,0.3337,0.334947,0.334524,0.334186,0.333499
1975$/kg,allansce2nz,European Free Trade Association,Dairy,0.184197,0.189925,0.192403,0.197645,0.208626,0.220244,0.23311,0.24284,0.253869,0.264972,0.275643,0.284813,0.294566,0.29423,0.29315,0.292687,0.292448
1975$/kg,allansce2nz,India,Dairy,0.0340051,0.0403824,0.0456292,0.0522358,0.0611304,0.0704402,0.0815559,0.0905637,0.100703,0.112776,0.124296,0.134153,0.144513,0.145435,0.145074,0.144685,0.143964
1975$/kg,allansce2nz,Indonesia,Dairy,0.117861,0.124576,0.130957,0.141023,0.157689,0.175786,0.197372,0.212277,0.228402,0.247163,0.265228,0.280263,0.297809,0.297458,0.296093,0.29477,0.293197
1975$/kg,allansce2nz,Japan,Dairy,0.234845,0.239434,0.242542,0.248442,0.258287,0.267149,0.278341,0.286835,0.296729,0.307276,0.31755100000000003,0.326257,0.335842,0.33534,0.334512,0.334115,0.333801
1975$/kg,allansce2nz,Mexico,Dairy,0.104219,0.106158,0.107551,0.10994,0.114163,0.119324,0.125844,0.131175,0.137186,0.143386,0.149222,0.154287,0.15995500000000001,0.160544,0.160775,0.161083,0.161367
1975$/kg,allansce2nz,Middle East,Dairy,0.195078,0.202229,0.2066,0.213968,0.22534,0.23706,0.253385,0.277026,0.329652,0.385078,0.423461,0.451693,0.482669,0.489588,0.489841,0.489332,0.48855
1975$/kg,allansce2nz,Pakistan,Dairy,0.0686616,0.0723192,0.0752673,0.0794202,0.085066,0.0922919,0.104334,0.115982,0.126335,0.136875,0.146874,0.155399,0.16464,0.165778,0.166033,0.166296,0.166264
1975$/kg,allansce2nz,Russia,Dairy,0.0980545,0.100638,0.102986,0.108537,0.118246,0.128998,0.141535,0.150755,0.160699,0.170254,0.179581,0.187069,0.196115,0.195417,0.194348,0.193454,0.192513
1975$/kg,allansce2nz,South Africa,Dairy,0.0946419,0.0963622,0.0981962,0.101879,0.109264,0.119028,0.129307,0.133918,0.140652,0.148671,0.156686,0.16394,0.172098,0.171909,0.17111,0.170071,0.169275
1975$/kg,allansce2nz,South America_Northern,Dairy,0.302568,0.308188,0.313966,0.322952,0.335643,0.349242,0.365603,0.379477,0.395132,0.412167,0.426807,0.440517,0.455741,0.457322,0.45762,0.457699,0.457515
1975$/kg,allansce2nz,South America_Southern,Dairy,0.107422,0.111177,0.114208,0.119386,0.127729,0.136152,0.146939,0.15567,0.165381,0.175771,0.186124,0.194932,0.204525,0.205455,0.204927,0.204911,0.2051
1975$/kg,allansce2nz,South Asia,Dairy,0.137604,0.145873,0.152497,0.161463,0.175142,0.189077,0.206532,0.223418,0.244204,0.269282,0.291915,0.310678,0.328893,0.332595,0.332803,0.332511,0.33147
1975$/kg,allansce2nz,South Korea,Dairy,0.560693,0.571869,0.580046,0.595302,0.623097,0.656225,0.698585,0.7188,0.742884,0.76803,0.792081,0.814317,0.83925,0.831754,0.822652,0.814773,0.80842
1975$/kg,allansce2nz,Southeast Asia,Dairy,0.124576,0.141356,0.155839,0.178811,0.212256,0.24605,0.284599,0.311393,0.34077,0.370446,0.397772,0.42022,0.444878,0.444473,0.442048,0.440105,0.438428
1975$/kg,allansce2nz,Taiwan,Dairy,0.199615,0.204562,0.209644,0.221206,0.240326,0.259909,0.28272,0.297799,0.313427,0.330782,0.348495,0.364283,0.381665,0.382603,0.381752,0.380487,0.379737
1975$/kg,allansce2nz,USA,Dairy,0.121225,0.123368,0.125074,0.128224,0.133787,0.140057,0.14786,0.153501,0.159979,0.166951,0.173838,0.179698,0.186306,0.186602,0.186517,0.186525,0.186574
1975$/kg,defaultnz,Africa_Eastern,Dairy,0.231276,0.275008,0.317345,0.391705,0.485316,0.576665,0.671193,0.746699,0.824723,0.901485,0.978621,1.04452,1.11614,1.12525,1.12912,1.135,1.14592
1975$/kg,defaultnz,Africa_Northern,Dairy,0.174515,0.179864,0.186803,0.197166,0.213304,0.230091,0.249715,0.26626,0.28519,0.306401,0.330003,0.350912,0.372222,0.375069,0.376143,0.377293,0.379243
1975$/kg,defaultnz,Africa_Southern,Dairy,0.153478,0.190537,0.216141,0.274734,0.319174,0.383987,0.479173,0.557068,0.630688,0.707726,0.79721,0.875394,0.962973,0.987018,1.00169,1.01762,1.0281
1975$/kg,defaultnz,Africa_Western,Dairy,0.319574,0.394617,0.459702,0.541676,0.718312,0.921176,1.1412,1.30053,1.44844,1.59904,1.75545,1.88559,2.03303,2.06505,2.06721,2.07632,2.08468
1975$/kg,defaultnz,Argentina,Dairy,0.105302,0.108535,0.11131,0.116123,0.123877,0.131838,0.141202,0.148991,0.157824,0.167445,0.177208,0.18543,0.194047,0.193894,0.193579,0.193616,0.193692
1975$/kg,defaultnz,Australia_NZ,Dairy,0.0926204,0.0949218,0.0968886,0.100466,0.106294,0.112279,0.118835,0.124722,0.131826,0.139347,0.146582,0.152551,0.15882,0.15863,0.15865,0.159087,0.159522
1975$/kg,defaultnz,Brazil,Dairy,0.0952123,0.0981897,0.100835,0.105598,0.112882,0.11927,0.127308,0.133441,0.140117,0.146962,0.153572,0.159261,0.165434,0.164679,0.163695,0.162904,0.162102
1975$/kg,defaultnz,Canada,Dairy,0.165922,0.168871,0.171037,0.175583,0.183019,0.190549,0.199545,0.207057,0.215518,0.224244,0.232879,0.240158,0.24803,0.248203,0.248102,0.24827,0.248472
1975$/kg,defaultnz,Central America and Caribbean,Dairy,0.140968,0.148686,0.155067,0.164091,0.177696,0.192333,0.209311,0.222095,0.236034,0.250512,0.264833,0.277153,0.290378,0.291954,0.292725,0.293522,0.294064
1975$/kg,defaultnz,Central Asia,Dairy,0.106689,0.110181,0.112706,0.116875,0.122794,0.128573,0.135349,0.141039,0.147499,0.15454,0.161748,0.168035,0.174759,0.175477,0.175773,0.176037,0.176112
1975$/kg,defaultnz,China,Dairy,0.203325,0.210452,0.216424,0.225363,0.239875,0.255614,0.273273,0.282554,0.29186,0.301064,0.309791,0.31617,0.322798,0.317356,0.310652,0.304238,0.298681
1975$/kg,defaultnz,Colombia,Dairy,0.0877055,0.0902724,0.0924712,0.0956655,0.0999824,0.1046,0.110264,0.11471,0.119684,0.124955,0.130269,0.135089,0.139848,0.139965,0.139913,0.139814,0.139547
1975$/kg,defaultnz,EU-12,Dairy,0.104835,0.107684,0.109631,0.113555,0.120084,0.126499,0.133761,0.139737,0.146688,0.153959,0.161204,0.167129,0.173546,0.17335,0.172937,0.172759,0.172698
1975$/kg,defaultnz,EU-15,Dairy,0.116018,0.119343,0.121219,0.12494,0.131333,0.137634,0.144976,0.151221,0.158444,0.166027,0.17365,0.180075,0.187046,0.187205,0.187056,0.187093,0.18717
1975$/kg,defaultnz,Europe_Eastern,Dairy,0.0719559,0.0751477,0.0774738,0.0815708,0.088047,0.0946773,0.10233,0.107815,0.114083,0.120535,0.126854,0.132043,0.137738,0.137504,0.137038,0.136689,0.136301
1975$/kg,defaultnz,Europe_Non_EU,Dairy,0.123947,0.134655,0.142252,0.153984,0.17113,0.188172,0.208002,0.224395,0.242922,0.263025,0.283175,0.300774,0.319404,0.321044,0.321012,0.320794,0.32023
1975$/kg,defaultnz,European Free Trade Association,Dairy,0.184132,0.189274,0.191334,0.19609,0.205943,0.216418,0.227862,0.236873,0.247117,0.257281,0.26736,0.276208,0.28536,0.285195,0.284228,0.28384,0.283708
1975$/kg,defaultnz,India,Dairy,0.03397,0.0401667,0.0452677,0.0516647,0.0601574,0.0689411,0.079239,0.0877274,0.0970944,0.107774,0.118509,0.127951,0.137596,0.138641,0.138413,0.138086,0.13744
1975$/kg,defaultnz,Indonesia,Dairy,0.117764,0.124095,0.130073,0.139491,0.154806,0.171337,0.190963,0.204867,0.219692,0.235985,0.252575,0.266583,0.282808,0.282663,0.281491,0.280285,0.278853
1975$/kg,defaultnz,Japan,Dairy,0.234803,0.238952,0.241707,0.247155,0.256165,0.264208,0.27425,0.282032,0.291085,0.300574,0.310076,0.318365,0.327317,0.326945,0.326231,0.325851,0.325585
1975$/kg,defaultnz,Mexico,Dairy,0.104176,0.105896,0.107071,0.109106,0.112677,0.117129,0.122742,0.127534,0.132812,0.138262,0.143502,0.148192,0.153296,0.153928,0.154195,0.1545,0.154728
1975$/kg,defaultnz,Middle East,Dairy,0.194997,0.201808,0.205947,0.213005,0.223753,0.234567,0.249315,0.270083,0.318318,0.367165,0.406106,0.432971,0.462096,0.469145,0.470731,0.470671,0.470219
1975$/kg,defaultnz,Pakistan,Dairy,0.0686364,0.0721639,0.0750071,0.0789938,0.0843012,0.0909791,0.101831,0.112886,0.122758,0.132269,0.141702,0.149795,0.158457,0.159751,0.160075,0.160357,0.160364
1975$/kg,defaultnz,Russia,Dairy,0.0980296,0.100427,0.102613,0.107925,0.117082,0.127112,0.138654,0.147354,0.156683,0.165432,0.174257,0.181489,0.19012,0.189573,0.18867,0.187881,0.187066
1975$/kg,defaultnz,South Africa,Dairy,0.0946179,0.0962384,0.0979674,0.101483,0.108449,0.117526,0.126919,0.131047,0.137104,0.144268,0.151606,0.158379,0.16595,0.16586,0.165142,0.16416,0.163462
1975$/kg,defaultnz,South America_Northern,Dairy,0.302884,0.308081,0.313411,0.321667,0.33314,0.345244,0.359562,0.372013,0.386004,0.40097,0.414225,0.426607,0.440718,0.442345,0.442731,0.442822,0.442717
1975$/kg,defaultnz,South America_Southern,Dairy,0.107372,0.110858,0.113683,0.118558,0.126315,0.133992,0.143748,0.151841,0.160799,0.170129,0.179758,0.188114,0.19707,0.19811,0.197715,0.197749,0.197987
1975$/kg,defaultnz,South Asia,Dairy,0.13755,0.145551,0.151952,0.16059,0.17367,0.186875,0.203127,0.218969,0.237854,0.260928,0.281917,0.300459,0.31752,0.320964,0.321422,0.321138,0.320144
1975$/kg,defaultnz,South Korea,Dairy,0.560493,0.570682,0.578035,0.592065,0.617039,0.646088,0.682768,0.700708,0.722078,0.744229,0.766382,0.787722,0.810863,0.804591,0.796666,0.789692,0.784204
