Units,scenario,region,fuel,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
1975$/GJ,30percnz,China,electricity,8.88121,9.89285,9.89637,9.8615100000000009,9.71092,9.5113,9.26912,9.07122,8.79831,8.5792,8.422,8.28215,8.20015,8.32482,8.44024,8.59472,8.65805
1975$/GJ,30percnz,Colombia,electricity,11.0342,10.738,10.2394,9.9973,9.76163,9.52056,9.24735,8.98626,8.71734,8.50622,8.35067,8.19791,8.09372,7.95408,7.82712,7.71667,7.62563
1975$/GJ,30percnz,EU-12,electricity,10.9369,10.0869,9.9303,9.86859,9.8147,9.8483,9.71312,9.59467,9.47118,9.34701,9.24544,9.07787,9.1822,9.19572,9.22064,9.2485,9.25029
1975$/GJ,30percnz,EU-15,electricity,10.1058,9.38771,9.33933,9.38834,9.3916,9.22807,9.1121,8.99682,8.89047,8.74068,8.57121,8.40778,8.44754,8.43376,8.43087,8.43793,8.41734
1975$/GJ,30percnz,Europe_Eastern,electricity,9.28284,9.45002,9.378,9.26934,9.23521,9.25843,9.24527,9.16688,9.13872,9.04655,8.98356,9.00277,8.98797,9.01868,8.99897,9.03866,9.03352
1975$/GJ,30percnz,Europe_Non_EU,electricity,7.80773,9.90779,9.7348,9.75792,9.88987,9.97463,10.0637,9.96749,9.94007,9.92234,9.82032,9.71179,9.68584,9.69477,9.68056,9.6816,9.6559
1975$/GJ,30percnz,European Free Trade Association,electricity,9.74244,7.80228,8.02024,7.86859,7.92163,8.03914,8.13622,8.11584,8.07235,7.99091,7.90257,7.78569,7.77515,7.79266,7.6861,7.62083,7.5649
1975$/GJ,30percnz,India,electricity,11.7715,11.2624,11.6236,11.8161,11.9193,11.9336,11.7221,11.554,11.3548,11.1717,11.0125,10.8497,10.7335,10.5753,10.4341,10.3116,10.1806
1975$/GJ,30percnz,Indonesia,electricity,12.1319,11.3758,11.2308,11.475,11.7782,11.7396,11.5058,11.3973,11.1,10.8111,10.5723,10.3297,10.1263,9.94143,9.78452,9.65818,9.57024
1975$/GJ,30percnz,Japan,electricity,11.8482,10.6739,10.3681,10.0134,9.74619,9.66803,9.46139,9.18711,8.99548,8.86122,8.79638,8.72813,8.65128,8.63317,8.63376,8.65469,8.62318
1975$/GJ,30percnz,Mexico,electricity,11.5231,9.87096,9.4884,9.3734,9.24839,9.27047,9.13659,8.98729,8.79577,8.62801,8.52959,8.45122,8.42076,8.34428,8.22953,8.13422,8.004
1975$/GJ,30percnz,Middle East,electricity,14.7633,12.4356,11.9429,11.4448,11.0975,10.9641,10.6721,10.363,10.0782,9.84002,9.74296,9.53101,9.36203,9.09974,8.87948,8.70163,8.62103
1975$/GJ,30percnz,Pakistan,electricity,11.9539,8.22238,9.61231,10.471,11.0246,11.3598,11.2628,11.0998,10.9734,10.8335,10.712,10.6511,10.6775,10.5503,10.4466,10.3601,10.2494
1975$/GJ,30percnz,Russia,electricity,10.0368,9.13882,8.93511,8.76691,8.62996,8.52992,8.40172,8.22115,8.04256,7.91399,7.82805,7.72308,7.73854,7.74006,7.73006,7.731,7.6758
1975$/GJ,30percnz,South Africa,electricity,10.2108,9.97637,10.5611,10.9238,11.1635,11.0077,10.7982,10.7552,10.5006,10.3226,10.1396,10.0057,9.89414,9.75839,9.67704,9.65796,9.66837
1975$/GJ,30percnz,South America_Northern,electricity,9.73006,0.267423,5.09449,6.97383,7.83688,8.20727,8.07903,7.66377,7.30517,6.93781,6.75726,6.94855,7.09923,7.06214,6.75145,6.81549,6.71893
1975$/GJ,30percnz,South America_Southern,electricity,11.8927,8.04309,9.19928,9.19974,9.07976,9.22226,9.12751,8.91444,8.74842,8.54497,8.36198,8.09736,7.90116,7.74404,7.5838,7.44604,7.34289
1975$/GJ,30percnz,South Asia,electricity,11.1889,8.28711,9.25113,9.46586,9.87834,10.1033,10.1013,10.0179,9.95643,9.89937,9.9099,9.9156,9.87237,9.79049,9.73256,9.67306,9.60205
1975$/GJ,30percnz,South Korea,electricity,9.28234,9.83745,9.61425,9.60147,9.66165,9.63662,9.59945,9.40023,9.16485,8.91897,8.65905,8.53772,8.5391,8.69411,8.89358,9.08375,9.20664
1975$/GJ,30percnz,Southeast Asia,electricity,9.17868,9.51966,9.46695,9.36959,9.32154,9.47141,9.55725,9.52121,9.44603,9.35963,9.31946,9.26802,9.23303,9.17972,9.10346,8.99908,8.92463
1975$/GJ,30percnz,Taiwan,electricity,8.10559,11.5857,12.3152,12.1894,11.7538,11.3358,10.7923,10.3206,9.88071,9.55006,9.32957,9.15967,9.05548,8.94817,8.83392,8.75348,8.69328
1975$/GJ,30percnz,USA,electricity,9.51298,9.49991,9.54838,9.52907,9.41867,9.29072,9.00761,8.78227,8.57156,8.44697,8.37229,8.29985,8.19779,8.18598,8.19749,8.25961,8.23832
1975$/GJ,allansce1nz,Africa_Eastern,electricity,9.71134,4.74037,7.59929,8.52416,9.2277,9.52009,9.57937,9.49283,9.42946,9.29026,9.13102,9.002,8.91202,8.83495,8.73909,8.65785,8.59653
1975$/GJ,allansce1nz,Africa_Northern,electricity,11.5365,10.5655,10.3689,10.3359,10.3832,10.4121,10.3913,10.1383,9.88066,9.6141,9.42512,9.25174,9.14318,8.9744,8.8021,8.66454,8.56769
1975$/GJ,allansce1nz,Africa_Southern,electricity,18.7852,4.7683,13.268,12.2275,13.9055,13.59,13.6386,13.5738,13.4506,13.2389,12.9776,12.6695,12.17,11.5139,10.8498,10.1932,10.0085
1975$/GJ,allansce1nz,Africa_Western,electricity,11.9243,2.56939,7.28557,8.54122,9.0234,9.51544,9.92919,10.0606,9.99028,9.91689,9.81046,9.66436,9.5308,9.36623,9.18747,9.05821,8.93545
1975$/GJ,allansce1nz,Argentina,electricity,8.54141,9.87868,9.24856,8.95129,8.72444,8.65585,8.52643,8.27378,8.02577,7.81876,7.7892,7.72899,7.681,7.54813,7.40699,7.26932,7.15442
1975$/GJ,allansce1nz,Australia_NZ,electricity,9.71113,9.39723,9.34219,9.13628,8.96403,8.9343,8.7639,8.47534,8.30516,8.20033,8.17155,8.0755,7.96579,7.86863,7.79161,7.70509,7.60038
1975$/GJ,allansce1nz,Brazil,electricity,10.0361,9.16937,8.80323,8.63518,8.577,8.48983,8.46847,8.43773,8.36128,8.2678,8.20949,8.13883,8.10568,7.9668,7.83243,7.69839,7.60546
1975$/GJ,allansce1nz,Canada,electricity,10.2179,9.46566,9.19215,8.99015,8.83658,8.7683,8.56618,8.36728,8.19377,8.04454,7.93176,7.83562,7.84745,7.83303,7.80106,7.77309,7.7312
1975$/GJ,allansce1nz,Central America and Caribbean,electricity,10.6679,7.94198,8.9088,9.35965,9.74013,9.97671,10.0399,9.91186,9.84334,9.72444,9.64004,9.55004,9.44994,9.32372,9.23122,9.13999,9.04798
1975$/GJ,allansce1nz,Central Asia,electricity,7.39127,9.13096,8.9566,8.7963,8.6699,8.61267,8.56671,8.43282,8.31136,8.22941,8.27724,8.19104,8.14174,8.12272,8.09042,8.16237,8.05479
1975$/GJ,allansce1nz,China,electricity,8.88231,9.89256,9.89419,9.85768,9.70528,9.50376,9.25888,9.06343,8.79105,8.57047,8.41289,8.27255,8.19097,8.31919,8.43678,8.59294,8.65592
1975$/GJ,allansce1nz,Colombia,electricity,11.0263,10.7385,10.2381,9.99609,9.75933,9.51699,9.24114,8.98097,8.71141,8.50005,8.3444,8.1921,8.08807,7.9496,7.82328,7.71314,7.62258
1975$/GJ,allansce1nz,EU-12,electricity,10.9367,10.0892,9.93138,9.86319,9.81465,9.84561,9.70868,9.58909,9.46451,9.34016,9.23966,9.07322,9.17896,9.19445,9.22016,9.24923,9.25006
1975$/GJ,allansce1nz,EU-15,electricity,10.1055,9.3895,9.33979,9.39044,9.39257,9.22675,9.10815,8.99218,8.88501,8.73492,8.56553,8.40205,8.44276,8.42989,8.42743,8.4343,8.4133
1975$/GJ,allansce1nz,Europe_Eastern,electricity,9.28553,9.43673,9.37653,9.26785,9.23258,9.25478,9.24658,9.16176,9.13396,9.04106,8.97821,8.99729,8.9842,9.01503,8.99532,9.03532,9.03041
1975$/GJ,allansce1nz,Europe_Non_EU,electricity,7.81008,9.9085,9.73336,9.75656,9.88736,9.97134,10.0589,9.96188,9.93441,9.91551,9.8141,9.70581,9.68033,9.69111,9.67733,9.67887,9.65241
1975$/GJ,allansce1nz,European Free Trade Association,electricity,9.74311,7.77401,8.01585,7.86838,7.91378,8.03348,8.12928,8.10767,8.06354,7.97991,7.89131,7.77665,7.76728,7.78848,7.67853,7.61399,7.55957
1975$/GJ,allansce1nz,India,electricity,11.7523,11.268,11.6197,11.8105,11.9094,11.9227,11.7099,11.5448,11.3433,11.1594,10.9996,10.8381,10.7236,10.5662,10.4256,10.3036,10.1724
1975$/GJ,allansce1nz,Indonesia,electricity,12.1357,11.3755,11.2272,11.4688,11.7708,11.7316,11.4982,11.3909,11.0953,10.8073,10.5695,10.3279,10.1251,9.94073,9.78414,9.6581,9.57047
1975$/GJ,allansce1nz,Japan,electricity,11.8484,10.712,10.3837,10.0175,9.76577,9.6714,9.4638,9.18757,8.99329,8.85773,8.79465,8.72693,8.65218,8.63294,8.63486,8.65729,8.62288
1975$/GJ,allansce1nz,Mexico,electricity,11.5224,9.88356,9.6418,9.37109,9.24811,9.27993,9.1485,9.005,8.81254,8.63161,8.53362,8.44725,8.41871,8.34276,8.22308,8.13078,8.00329
1975$/GJ,allansce1nz,Middle East,electricity,14.7639,12.4388,11.946,11.4433,11.0937,10.959,10.6648,10.3566,10.0689,9.82997,9.73387,9.52395,9.35667,9.09798,8.87797,8.69797,8.61756
1975$/GJ,allansce1nz,Pakistan,electricity,11.9539,8.22331,9.61044,10.468,11.0178,11.3491,11.2478,11.0802,10.9539,10.815,10.6967,10.6389,10.6653,10.5388,10.4361,10.3501,10.2394
1975$/GJ,allansce1nz,Russia,electricity,10.0369,9.1391,8.93504,8.76659,8.62873,8.52731,8.39729,8.21596,8.03629,7.90786,7.82268,7.71835,7.73427,7.73661,7.72701,7.7285,7.67341
1975$/GJ,allansce1nz,South Africa,electricity,10.211,9.97663,10.561,10.923400000000001,11.1619,11.0034,10.7907,10.75,10.4939,10.3153,10.1325,9.9992,9.8888,9.75479,9.67419,9.65572,9.66617
1975$/GJ,allansce1nz,South America_Northern,electricity,9.72816,0.286502,5.19838,7.1232,7.92482,8.26208,8.10935,7.67433,7.30895,6.9389,6.81988,6.98777,7.14619,7.09824,6.78991,6.86079,6.75402
1975$/GJ,allansce1nz,South America_Southern,electricity,11.8789,8.05441,9.19981,9.19774,9.07665,9.2197,9.12255,8.90766,8.73979,8.53596,8.35294,8.08872,7.89364,7.73671,7.57806,7.44075,7.33766
1975$/GJ,allansce1nz,South Asia,electricity,11.1906,8.28702,9.25045,9.4648,9.87604,10.1001,10.0968,10.0124,9.94995,9.89168,9.90391,9.90947,9.86616,9.78568,9.72608,9.66836,9.59622
1975$/GJ,allansce1nz,South Korea,electricity,9.28257,9.83757,9.61448,9.60177,9.66116,9.63581,9.59847,9.39924,9.16245,8.91591,8.65694,8.53649,8.53875,8.69568,8.8965,9.08703,9.20943
1975$/GJ,allansce1nz,Southeast Asia,electricity,9.1813,9.51369,9.46113,9.36453,9.31526,9.46625,9.5502300000000009,9.51482,9.43857,9.35209,9.31237,9.2611,9.22682,9.17673,9.0991,8.99566,8.92142
1975$/GJ,allansce1nz,Taiwan,electricity,8.10596,11.5872,12.3149,12.1897,11.7525,11.3343,10.7906,10.3185,9.87848,9.54863,9.32907,9.16016,9.05583,8.94847,8.8338,8.7532,8.69332
1975$/GJ,allansce1nz,USA,electricity,9.51367,9.4981,9.54549,9.52664,9.41491,9.28501,8.99983,8.77488,8.56269,8.43823,8.3639,8.29127,8.18945,8.18075,8.19378,8.25671,8.23503
1975$/GJ,allansce2nz,Africa_Eastern,electricity,9.71126,4.7343,7.59762,8.52082,9.22476,9.51719,9.57615,9.49002,9.42669,9.28754,9.12866,9.00007,8.91039,8.83381,8.73782,8.65662,8.59524
1975$/GJ,allansce2nz,Africa_Northern,electricity,11.536,10.562,10.3685,10.3335,10.3799,10.4078,10.3865,10.1333,9.87537,9.60881,9.41965,9.24812,9.13973,8.97115,8.79907,8.66168,8.56482
1975$/GJ,allansce2nz,Africa_Southern,electricity,18.7795,4.76367,13.2688,12.2299,13.9027,13.5853,13.6347,13.5666,13.4442,13.2344,12.974,12.6659,12.1664,11.5108,10.8473,10.191,10.0068
1975$/GJ,allansce2nz,Africa_Western,electricity,11.9232,2.5664,7.28472,8.54026,9.01971,9.51023,9.92402,10.0558,9.98583,9.91273,9.8072,9.66177,9.52852,9.36429,9.18606,9.05689,8.93413
1975$/GJ,allansce2nz,Argentina,electricity,8.54054,9.87685,9.24848,8.94956,8.72183,8.65274,8.52188,8.26903,8.02059,7.81431,7.7847,7.72499,7.67735,7.54511,7.40438,7.26673,7.1519
1975$/GJ,allansce2nz,Australia_NZ,electricity,9.7108,9.39631,9.34197,9.13468,8.9618,8.93158,8.76075,8.47163,8.301,8.19588,8.16697,8.07158,7.96201,7.86549,7.78901,7.70265,7.59794
1975$/GJ,allansce2nz,Brazil,electricity,10.0386,9.16773,8.80273,8.63552,8.57823,8.49103,8.46994,8.43797,8.36082,8.26678,8.20812,8.13739,8.1041,7.96554,7.83152,7.69761,7.60472
1975$/GJ,allansce2nz,Canada,electricity,10.2162,9.45461,9.18383,8.98117,8.82763,8.7615,8.55994,8.3622,8.18874,8.03998,7.92789,7.83262,7.84461,7.82966,7.79808,7.77036,7.72858
1975$/GJ,allansce2nz,Central America and Caribbean,electricity,10.671,7.92795,8.90086,9.34604,9.72462,9.96412,10.0298,9.90304,9.83543,9.71768,9.63411,9.54464,9.44497,9.3181,9.22721,9.13664,9.04505
1975$/GJ,allansce2nz,Central Asia,electricity,7.39125,9.12941,8.95653,8.795,8.66784,8.60948,8.56216,8.42802,8.30651,8.22447,8.27277,8.18703,8.13775,8.1195,8.08698,8.15928,8.05186
1975$/GJ,allansce2nz,China,electricity,8.88227,9.89097,9.89435,9.85647,9.70364,9.50096,9.25421,9.05985,8.78736,8.56637,8.40865,8.26861,8.18729,8.31644,8.4351,8.59181,8.65476
1975$/GJ,allansce2nz,Colombia,electricity,11.0349,10.735900000000001,10.2386,9.99462,9.75786,9.51496,9.23763,8.97808,8.70821,8.49682,8.34118,8.18928,8.0854,7.94725,7.8212,7.71128,7.62095
1975$/GJ,allansce2nz,EU-12,electricity,10.9367,10.0868,9.93262,9.86267,9.81368,9.84366,9.70543,9.58572,9.46077,9.33673,9.2367,9.07102,9.17741,9.19329,9.21962,9.24869,9.24936
1975$/GJ,allansce2nz,EU-15,electricity,10.1054,9.38663,9.34154,9.3903199999999991,9.39238,9.22584,9.10597,8.9902,8.88278,8.73311,8.56403,8.40085,8.44182,8.42892,8.42691,8.43364,8.41253
1975$/GJ,allansce2nz,Europe_Eastern,electricity,9.28513,9.43578,9.37691,9.26668,9.2308,9.25229,9.24312,9.15844,9.1306,9.03758,8.97496,8.99498,8.98243,9.01326,8.99385,9.03386,9.02885
1975$/GJ,allansce2nz,Europe_Non_EU,electricity,7.80967,9.90636,9.73375,9.75561,9.88599,9.96909,10.0554,9.95828,9.93085,9.91261,9.81145,9.70353,9.67804,9.68905,9.67557,9.67702,9.65054
1975$/GJ,allansce2nz,European Free Trade Association,electricity,9.74278,7.77612,8.01653,7.86666,7.91229,8.03195,8.12665,8.1048,8.06032,7.97711,7.8883,7.77437,7.76531,7.78682,7.67731,7.61341,7.5592
1975$/GJ,allansce2nz,India,electricity,11.7748,11.255,11.6186,11.8065,11.9073,11.9203,11.7053,11.5396,11.3382,11.1543,10.9946,10.8338,10.7197,10.5626,10.4227,10.3008,10.1698
1975$/GJ,allansce2nz,Indonesia,electricity,12.1362,11.3739,11.225,11.4651,11.7666,11.7274,11.4941,11.3875,11.0928,10.8053,10.5681,10.3269,10.1243,9.94,9.78348,9.65758,9.57018
1975$/GJ,allansce2nz,Japan,electricity,11.8481,10.7088,10.3847,10.0164,9.76816,9.67076,9.46263,9.18636,8.9921,8.85704,8.79434,8.72704,8.65232,8.63307,8.6351,8.65698,8.62179
1975$/GJ,allansce2nz,Mexico,electricity,11.5229,9.87932,9.6419,9.36831,9.24461,9.27774,9.14483,9.00078,8.80815,8.62729,8.52851,8.44249,8.41405,8.33842,8.21919,8.12654,7.99944
1975$/GJ,allansce2nz,Middle East,electricity,14.7627,12.4348,11.943,11.4409,11.0904,10.9554,10.6605,10.3515,10.0631,9.82496,9.7294,9.52031,9.3534,9.09518,8.87559,8.69575,8.61561
1975$/GJ,allansce2nz,Pakistan,electricity,11.9539,8.21625,9.60854,10.4637,11.0118,11.3433,11.2418,11.0721,10.9465,10.8088,10.6917,10.6352,10.6607,10.5347,10.4325,10.3465,10.2361
1975$/GJ,allansce2nz,Russia,electricity,10.0365,9.13865,8.93511,8.76605,8.62765,8.52525,8.394,8.21236,8.03238,7.90423,7.81943,7.71562,7.73176,7.73431,7.72496,7.72666,7.67167
1975$/GJ,allansce2nz,South Africa,electricity,10.2107,9.97599,10.5605,10.9228,11.1603,10.9998,10.7853,10.7464,10.4899,10.3112,10.1289,9.99605,9.88599,9.75259,9.67242,9.65421,9.66475
1975$/GJ,allansce2nz,South America_Northern,electricity,9.72913,0.265047,5.12885,7.01527,7.85191,8.21256,8.07911,7.6597,7.29947,6.93053,6.75572,6.95817,7.15987,7.06552,6.75425,6.82421,6.72537
1975$/GJ,allansce2nz,South America_Southern,electricity,11.8889,8.03671,9.1979,9.19555,9.07313,9.21564,9.11711,8.90166,8.73331,8.52984,8.34691,8.08361,7.88909,7.73294,7.5748,7.43765,7.33488
1975$/GJ,allansce2nz,South Asia,electricity,11.1903,8.2825,9.24937,9.46277,9.87405,10.0977,10.0933,10.0089,9.94642,9.88824,9.90097,9.90678,9.86371,9.78316,9.72334,9.66572,9.59341
1975$/GJ,allansce2nz,South Korea,electricity,9.28252,9.8376,9.61443,9.60176,9.66078,9.63515,9.59738,9.39826,9.16094,8.91426,8.65588,8.53596,8.5385,8.69552,8.89659,9.08701,9.20896
1975$/GJ,allansce2nz,Southeast Asia,electricity,9.17843,9.51043,9.46343,9.36264,9.31322,9.46323,9.54599,9.5112,9.43451,9.3481,9.30861,9.25794,9.22384,9.17498,9.09718,8.99389,8.91969
1975$/GJ,allansce2nz,Taiwan,electricity,8.10601,11.5846,12.3142,12.1868,11.7498,11.3328,10.7892,10.3173,9.87743,9.54832,9.32927,9.16083,9.0562,8.94853,8.83357,8.75301,8.69341
1975$/GJ,allansce2nz,USA,electricity,9.51354,9.49568,9.5457,9.52532,9.41303,9.2824,8.99612,8.77194,8.55893,8.43462,8.36053,8.28829,8.18647,8.17849,8.19184,8.2547,8.23292
1975$/GJ,defaultnz,Africa_Eastern,electricity,9.71119,4.70295,7.58356,8.50137,9.20665,9.49986,9.5567,9.47174,9.40787,9.26787,9.11054,8.9846800000000009,8.89653,8.82415,8.7278,8.64633,8.58431
1975$/GJ,defaultnz,Africa_Northern,electricity,11.5353,10.5464,10.3635,10.32,10.3597,10.3809,10.3559,10.1005,9.83929,9.57015,9.37767,9.21869,9.11033,8.9445,8.77469,8.63842,8.54159
1975$/GJ,defaultnz,Africa_Southern,electricity,18.7792,4.73595,13.2623,12.219,13.8885,13.5552,13.6113,13.5171,13.3993,13.1991,12.9436,12.6364,12.1364,11.4864,10.8279,10.1741,9.99313
1975$/GJ,defaultnz,Africa_Western,electricity,11.9262,2.54633,7.28265,8.53543,8.99756,9.47777,9.89137,10.0239,9.95517,9.8823,9.78267,9.6422,9.51045,9.349,9.17503,9.04688,8.92425
1975$/GJ,defaultnz,Argentina,electricity,8.54045,9.86804,9.24476,8.93837,8.7038,8.63213,8.49288,8.23739,7.98529,7.78161,7.75054,7.69257,7.64605,7.51975,7.38361,7.24708,7.13243
1975$/GJ,defaultnz,Australia_NZ,electricity,9.71353,9.39257,9.33961,9.12664,8.94711,8.9143,8.74163,8.4481,8.27362,8.16389,8.13324,8.04104,7.93124,7.8399,7.76792,7.68316,7.57831
1975$/GJ,defaultnz,Brazil,electricity,10.0395,9.16248,8.80047,8.63467,8.57902,8.49028,8.46746,8.42776,8.346,8.24936,8.19024,8.12105,8.08781,7.9523,7.82088,7.68797,7.59561
1975$/GJ,defaultnz,Canada,electricity,10.2169,9.44232,9.17734,8.96879,8.80945,8.74601,8.54229,8.34382,8.16787,8.01827,7.90772,7.81469,7.82773,7.81435,7.78632,7.76013,7.71864
1975$/GJ,defaultnz,Central America and Caribbean,electricity,10.682,7.89099,8.87933,9.30352,9.67238,9.91397,9.9842,9.8601,9.79419,9.67965,9.59985,9.51318,9.41505,9.28539,9.20402,9.11693,9.02781
1975$/GJ,defaultnz,Central Asia,electricity,7.39115,9.1221,8.95389,8.78685,8.65362,8.58778,8.53272,8.39526,8.27249,8.19581,8.23796,8.15543,8.10372,8.09028,8.08892,8.13344,8.02628
1975$/GJ,defaultnz,China,electricity,8.88273,9.88526,9.89234,9.84819,9.69129,9.48102,9.22177,9.03361,8.76084,8.5354,8.37565,8.23645,8.15554,8.29351,8.42072,8.58236,8.64534
1975$/GJ,defaultnz,Colombia,electricity,11.0339,10.7248,10.2385,9.98828,9.75016,9.50461,9.21989,8.96392,8.69229,8.47973,8.32331,8.17268,8.06846,7.93379,7.80953,7.70056,7.61177
1975$/GJ,defaultnz,EU-12,electricity,10.9371,10.0712,9.92955,9.8602,9.80844,9.83085,9.68488,9.56299,9.43516,9.31035,9.21206,9.0488,9.16088,9.18254,9.2147,9.24492,9.24341
1975$/GJ,defaultnz,EU-15,electricity,10.1054,9.37182,9.34285,9.38328,9.38543,9.21859,9.09184,8.97643,8.86807,8.71856,8.55154,8.3903,8.43285,8.42224,8.42325,8.4307,8.41181
1975$/GJ,defaultnz,Europe_Eastern,electricity,9.28528,9.42417,9.37669,9.26056,9.21923,9.23561,9.21996,9.13483,9.10605,9.01061,8.95046,8.97614,8.96594,8.99811,8.98111,9.02203,9.01522
1975$/GJ,defaultnz,Europe_Non_EU,electricity,7.81146,9.8987,9.73167,9.74895,9.8762,9.95555,10.0361,9.93779,9.90892,9.89145,9.79405,9.68626,9.65888,9.67594,9.66694,9.66818,9.63999
1975$/GJ,defaultnz,European Free Trade Association,electricity,9.74264,7.75661,8.01265,7.86138,7.89811,8.01436,8.10716,8.08263,8.03603,7.9513,7.86027,7.75264,7.74465,7.77262,7.66129,7.60102,7.55005
1975$/GJ,defaultnz,India,electricity,11.7751,11.2289,11.6153,11.7929,11.8868,11.8928,11.6693,11.5066,11.3005,11.1146,10.9546,10.7977,10.6854,10.532,10.3973,10.2778,10.1479
1975$/GJ,defaultnz,Indonesia,electricity,12.1384,11.3683,11.2174,11.4497,11.7462,11.7054,11.4707,11.3661,11.0755,10.7909,10.5573,10.3192,10.117,9.9344,9.77932,9.65427,9.56859
1975$/GJ,defaultnz,Japan,electricity,11.8479,10.6471,10.3656,10.005,9.73336,9.66051,9.44923,9.1736,8.98295,8.85167,8.78905,8.72506,8.64827,8.63322,8.63453,8.65128,8.61682
1975$/GJ,defaultnz,Mexico,electricity,11.5244,9.84381,9.48151,9.35367,9.22121,9.25327,9.11089,8.95756,8.76253,8.59202,8.48941,8.41331,8.38312,8.31795,8.20859,8.10855,7.98053
1975$/GJ,defaultnz,Middle East,electricity,14.761,12.4174,11.9297,11.428,11.0701,10.9323,10.6321,10.3157,10.0221,9.78714,9.69419,9.4905,9.32543,9.0711,8.85571,8.67968,8.60019
1975$/GJ,defaultnz,Pakistan,electricity,11.9538,8.1804,9.59309,10.4394,10.9692,11.3037,11.2078,11.0121,10.8899,10.7574,10.6511,10.6033,10.6175,10.4991,10.4023,10.3173,10.2099
1975$/GJ,defaultnz,Russia,electricity,10.0368,9.13587,8.933,8.76089,8.61792,8.50876,8.36978,8.18498,8.00185,7.87465,7.79258,7.69228,7.70922,7.7135,7.70629,7.7101,7.65607
1975$/GJ,defaultnz,South Africa,electricity,10.2105,9.97339,10.5576,10.9189,11.149,10.9772,10.7497,10.7216,10.4613,10.28,10.0992,9.96981,9.86094,9.73358,9.65862,9.64245,9.65388
1975$/GJ,defaultnz,South America_Northern,electricity,9.7295,0.257653,5.14885,6.98629,7.80829,8.16198,8.04222,7.64012,7.28457,6.91389,6.73194,6.91021,7.10745,7.00808,6.71003,6.77419,6.6735
1975$/GJ,defaultnz,South America_Southern,electricity,11.8878,8.00651,9.18847,9.17702,9.05081,9.19467,9.0873,8.86691,8.69417,8.49023,8.30733,8.04802,7.85553,7.70185,7.54919,7.41299,7.31192
1975$/GJ,defaultnz,South Asia,electricity,11.1923,8.2573,9.24199,9.45156,9.86117,10.0821,10.0705,9.98439,9.92304,9.86032,9.87725,9.88422,9.8415,9.76106,9.69941,9.64281,9.56889
1975$/GJ,defaultnz,South Korea,electricity,9.28262,9.83767,9.61433,9.60176,9.65766,9.63014,9.5897,9.39061,9.14886,8.89993,8.64624,8.52916,8.53244,8.6919,8.89573,9.08707,9.20597
1975$/GJ,defaultnz,Southeast Asia,electricity,9.18396,9.48802,9.46698,9.35609,9.30142,9.44375,9.51819,9.48721,9.40681,9.31877,9.27986,9.23233,9.19808,9.15971,9.08224,8.9806,8.90707
1975$/GJ,defaultnz,Taiwan,electricity,8.10627,11.5728,12.3055,12.1696,11.731,11.3224,10.78,10.3079,9.86888,9.54406,9.3288,9.16403,9.05813,8.94928,8.83268,8.75238,8.69465
